method,url,status_code,body_length,final_url,error,path_payload,header_payload,method_payload,query_payload,protocol_payload,host_payload,smuggling_payload,interesting,confidence,score,reasons
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Real-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Originating-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),True-Client-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),Client-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Client-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),CF-Connecting-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Custom-IP-Authorization: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Custom-IP-Authorization: base64 127.0.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),Forwarded: for=,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),Forwarded-For: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Remote-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Remote-Addr: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-ProxyUser-Ip: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),Cluster-Client-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-Host: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Host: origen,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),Host: localhost,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-Server: self,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Original-URL: path (proxy),,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Original-URL: path with request /,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Original-URL: / (alt),,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Rewrite-URL: path,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Rewrite-URL: path with request /,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Override-URL: path,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),Referer: same host,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-Proto: https,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-Proto: http,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-Port: 443,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-Port: 80,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Port: 443,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Port: 80,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),Origin: same host,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),User-Agent: Googlebot,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-AppEngine-Trusted-IP-Request: 1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-Scheme: https,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Original-Method: GET,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),x-middleware-subrequest,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),Destination: same path,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For: 127.0.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For chained: 127.0.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Real-IP: 127.0.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For: ::1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For chained: ::1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Real-IP: ::1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For: 10.0.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For chained: 10.0.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Real-IP: 10.0.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For: 192.168.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For chained: 192.168.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Real-IP: 192.168.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For: localhost,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Forwarded-For chained: localhost,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml,403,3262,https://www.vidaxl.es/autodiscover.xml,,Ruta original (baseline),X-Real-IP: localhost,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,X-Forwarded-For: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,X-Real-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,X-Originating-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,True-Client-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,Client-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,X-Client-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,CF-Connecting-IP: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,X-Custom-IP-Authorization: loopback,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,X-Custom-IP-Authorization: base64 127.0.0.1,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,Forwarded: for=,,,,,,False,none,0,
GET,https://www.vidaxl.es/autodiscover.xml/,403,3262,https://www.vidaxl.es/autodiscover.xml/,,Añadir / al final,Forwarded-For: loopback,,,,,,False,none,0,
